"latitude"	"longitude"	"altitude_m"	"date"	"doy"	"year"	"day"	"month"	"n_samples"	"site2"	"avg_T2M_MAX"	"sd_T2M_MAX"	"avg_T2M_MIN"	"sd_T2M_MIN"	"avg_T2M"	"sd_T2M"	"NASA_ELEV"
19.76	-155.53	575.15875	1993-02-22	53	1993	22	2	4	"u3"	22.5623015873016	1.76758905892111	16.9150264550265	1.12344233423143	19.2035185185185	1.18568161950803	635.57
19.76	-155.53	575.15875	1993-02-23	54	1993	23	2	2	"v3"	22.575291005291	1.76876736139939	16.9019312169312	1.15574529585471	19.2075661375661	1.20593796204169	635.57
19.76	-155.53	575.15875	1993-02-24	55	1993	24	2	1	"w3"	22.6017195767196	1.74470124845291	16.9221693121693	1.16146370331667	19.2283333333333	1.20502402102476	635.57
19.76	-155.53	575.15875	1993-02-25	56	1993	25	2	1	"x3"	22.600582010582	1.74007368358093	16.9242328042328	1.17146310331242	19.2325925925926	1.20906375780972	635.57
19.76	-155.53	575.15875	1993-03-05	64	1993	33	2	1	"y3"	22.8290740740741	1.89388950120495	17.0472486772487	1.21674255151586	19.4140740740741	1.30096202511255	635.57
19.8	-155.33333	1948.8951	1993-01-24	24	1993	24	1	4	"z3"	22.574126984127	1.73500514978311	17.125873015873	1.32263518200639	19.3384920634921	1.23507905273917	635.57
19.8	-155.33333	1948.8951	1993-01-26	26	1993	26	1	6	"a4"	22.6083597883598	1.72516172545135	17.1155026455026	1.33653175071999	19.3436243386243	1.23377591551215	635.57
19.8	-155.33333	1948.8951	1993-01-28	28	1993	28	1	3	"b4"	22.6606613756614	1.68670895372571	17.080873015873	1.28922489400941	19.332380952381	1.17956006853661	635.57
19.8	-155.33333	1948.8951	1993-01-29	29	1993	29	1	4	"c4"	22.6694708994709	1.68521602026563	17.0616402116402	1.28726983013161	19.3203174603175	1.18124890288612	635.57
19.8	-155.33333	1948.8951	1993-02-02	33	1993	2	2	3	"d4"	22.6503703703704	1.73734358351577	16.928544973545	1.36338078360449	19.2564814814815	1.26162816405016	635.57
19.8	-155.33333	1948.8951	1993-02-03	34	1993	3	2	3	"e4"	22.6084126984127	1.72647311306319	16.9091534391534	1.38439764559012	19.2262962962963	1.27578239874665	635.57
19.8	-155.33333	1948.8951	1993-03-04	63	1993	4	3	1	"f4"	22.7874603174603	1.89556998692852	17.017962962963	1.2158785140625	19.3824074074074	1.29775230013972	635.57
19.8211	-155.3306	1828.80366	1993-02-05	36	1993	5	2	6	"g4"	22.5360846560847	1.70982804701935	16.8422751322751	1.41842147420226	19.1595238095238	1.29373650690509	635.57
19.8211	-155.3306	1828.80366	1993-02-06	37	1993	6	2	2	"h4"	22.5001851851852	1.70265503937883	16.8238624338624	1.4343700369068	19.1316137566138	1.29677841550066	635.57
19.8211	-155.3306	1828.80366	1993-02-07	38	1993	7	2	5	"i4"	22.5091798941799	1.70914876804766	16.8286507936508	1.41562127207607	19.1361904761905	1.28462600145824	635.57
19.8211	-155.3306	1828.80366	1993-02-10	41	1993	10	2	4	"j4"	22.5382275132275	1.75278672581424	16.8690476190476	1.39258538365761	19.1729365079365	1.300276486081	635.57
19.8211	-155.3306	1828.80366	1993-02-13	44	1993	13	2	5	"k4"	22.5850264550265	1.74325395437122	16.8886507936508	1.34758513941427	19.2095767195767	1.27930283181028	635.57
19.8211	-155.3306	1828.80366	1993-02-14	45	1993	14	2	4	"l4"	22.5557142857143	1.7532920586198	16.8943121693122	1.29466039827214	19.1981746031746	1.25613913182596	635.57
19.8211	-155.3306	1828.80366	1993-02-15	46	1993	15	2	1	"m4"	22.557962962963	1.75546749649505	16.8938095238095	1.2613473431697	19.1991798941799	1.23708398228388	635.57
19.8211	-155.3306	1828.80366	1993-02-26	57	1993	26	2	2	"n4"	22.635	1.73245785293657	16.9168253968254	1.18837538219557	19.2468783068783	1.21573166931803	635.57
19.8211	-155.3306	1828.80366	1993-02-27	58	1993	27	2	4	"o4"	22.6865873015873	1.74564733238678	16.9454497354497	1.19505965084794	19.2856349206349	1.22885629432125	635.57
19.8211	-155.3306	1828.80366	1993-02-28	59	1993	28	2	8	"p4"	22.7277513227513	1.74908008305354	16.9635978835979	1.1973854218603	19.3152645502646	1.22949173638033	635.57
19.8211	-155.3306	1828.80366	1993-03-04	63	1993	4	3	1	"q4"	22.7874603174603	1.89556998692852	17.017962962963	1.2158785140625	19.3824074074074	1.29775230013972	635.57
19.8211	-155.3306	1828.80366	1993-03-12	71	1993	12	3	2	"r4"	22.8904761904762	1.8467919810979	17.2203439153439	1.1340136172291	19.5224867724868	1.21689418822748	635.57
19.8211	-155.3306	1828.80366	1993-03-16	75	1993	16	3	1	"s4"	22.8074867724868	1.72878294875599	17.1878042328042	1.14017318884702	19.4641005291005	1.16150175380178	635.57
19.93333	-155.21667	473.96495	1993-01-25	25	1993	25	1	6	"t4"	23.3713492063492	1.15431977501187	21.6691798941799	0.919165873981278	22.4751851851852	0.933770254769558	116.8
19.93333	-155.21667	473.96495	1993-02-17	48	1993	17	2	5	"u4"	23.160873015873	1.11340781147545	21.4100793650794	0.822164926336723	22.2415079365079	0.858067102537289	116.8
19.93333	-155.21667	473.96495	1993-02-18	49	1993	18	2	4	"v4"	23.1460317460317	1.08990745916639	21.412380952381	0.802085903214175	22.2323544973545	0.828634113881358	116.8
19.93333	-155.21667	473.96495	1993-02-27	58	1993	27	2	1	"w4"	23.1749735449735	1.20854149524018	21.4098412698413	0.889151221762816	22.2414021164021	0.934278196089268	116.8
21.87248	-105.90331	0	1992-03-30	90	1992	30	3	10	"x4"	26.9936507936508	1.44930712605575	21.5907407407407	1.05525638026835	23.9441798941799	1.08015987097401	46.19
21.87248	-105.90331	0	1992-03-31	91	1992	31	3	10	"y4"	27.0460052910053	1.46859707499103	21.6259788359788	1.07209169585695	23.990873015873	1.0989039776077	46.19
21.87248	-105.90331	0	1992-04-01	92	1992	1	4	14	"z4"	27.1048148148148	1.46106192716305	21.6750264550265	1.08148150882952	24.048835978836	1.09710625865819	46.19
21.87248	-105.90331	0	1992-04-02	93	1992	2	4	10	"a5"	27.1771693121693	1.46794274128174	21.7329894179894	1.07882208330238	24.1136243386243	1.09492624735706	46.19
21.87248	-105.90331	0	1992-04-08	99	1992	8	4	2	"b5"	27.4969576719577	1.43795850842214	21.994708994709	0.980567174678416	24.4244444444444	1.06374411740008	46.19
21.87248	-105.90331	0	1993-03-09	68	1993	9	3	1	"c5"	26.2845502645503	1.49963848300012	20.9624603174603	1.16931299050934	23.2662169312169	1.10831758920693	46.19
21.87248	-105.90331	0	1993-03-10	69	1993	10	3	6	"d5"	26.266455026455	1.51038425884867	20.9696296296296	1.13423825283142	23.2639947089947	1.10099191832455	46.19
21.87248	-105.90331	0	1993-03-11	70	1993	11	3	8	"e5"	26.259417989418	1.50706265850218	20.972037037037	1.12343463919582	23.259417989418	1.11507832028301	46.19
21.87248	-105.90331	0	1993-03-12	71	1993	12	3	8	"f5"	26.2701322751323	1.5192327511669	20.9620634920635	1.14557526173892	23.2604232804233	1.14251308958847	46.19
21.87248	-105.90331	0	1993-03-14	73	1993	14	3	3	"g5"	26.3338888888889	1.60384781299543	20.9696560846561	1.1881252147694	23.297962962963	1.19944917893262	46.19
21.87248	-105.90331	0	1993-03-16	75	1993	16	3	4	"h5"	26.435	1.644405554797	21.038544973545	1.20092106532187	23.3814021164021	1.21866317687425	46.19
21.87248	-105.90331	0	1993-03-17	76	1993	17	3	3	"i5"	26.4589947089947	1.63333706507313	21.0607407407407	1.19741032745172	23.4052645502646	1.21435711074913	46.19
21.87248	-105.90331	0	1993-03-18	77	1993	18	3	5	"j5"	26.5011904761905	1.6148710144562	21.0628306878307	1.18576265753761	23.4293121693122	1.20233903466586	46.19
21.87248	-105.90331	0	1993-03-20	79	1993	20	3	7	"k5"	26.5782275132275	1.58063589966338	21.1221693121693	1.15753215624567	23.4947883597884	1.17568314479131	46.19
29	87.7	4789.94158	2005-04-23	113	2005	23	4	2	"l5"	9.46214285714286	2.65606965384248	-6.58621693121693	1.2313261814067	0.67984126984127	1.8022644101007	4789.91
29	87.7	4789.94158	2005-04-24	114	2005	24	4	3	"m5"	9.60806878306878	2.68471065979582	-6.48941798941799	1.26803391326603	0.83973544973545	1.83833000961667	4789.91
29	87.7	4789.94158	2005-04-25	115	2005	25	4	4	"n5"	9.79055555555555	2.7066707962537	-6.40878306878307	1.26721612656907	1.00910052910053	1.85393830870031	4789.91
29	87.7	4789.94158	2005-04-26	116	2005	26	4	3	"o5"	9.99801587301587	2.67244005369553	-6.29161375661376	1.31578693824873	1.18743386243386	1.86938550084958	4789.91
29	87.7	4789.94158	2005-04-27	117	2005	27	4	4	"p5"	10.1745502645503	2.62627085495148	-6.21328042328042	1.32063457565952	1.33055555555556	1.85355331801946	4789.91
30.8667	34.7833	456	1989-08-02	214	1989	2	8	1	"q5"	37.0809788359788	2.21017092959174	20.7296825396825	1.32768836615576	28.0141534391534	1.55484950195878	271.1
30.8667	34.7833	456	1994-03-26	85	1994	26	3	11	"r5"	23.5489947089947	4.6477177360311	9.20664021164021	2.61951229240289	15.4330952380952	3.20737928939267	271.1
30.8667	34.7833	456	1994-03-28	87	1994	28	3	11	"s5"	23.8607142857143	4.75016060237857	9.49492063492064	2.62530768570331	15.7449470899471	3.25240994058195	271.1
30.8667	34.7833	456	1994-03-29	88	1994	29	3	8	"t5"	24.0070634920635	4.77621728633129	9.57256613756614	2.61403232870371	15.857671957672	3.259284372204	271.1
30.8667	34.7833	456	1994-03-30	89	1994	30	3	7	"u5"	24.1765343915344	4.83338768347979	9.63833333333333	2.61357558164192	15.9691798941799	3.29939149030227	271.1
30.8667	34.7833	456	1994-03-31	90	1994	31	3	3	"v5"	24.4625396825397	4.70281341436777	9.7152380952381	2.64234012742414	16.1389682539683	3.26004519733158	271.1
30.8667	34.7833	456	1994-04-01	91	1994	1	4	1	"w5"	24.8384920634921	4.64074414379415	9.83896825396825	2.66866893654659	16.3885978835979	3.24044351226431	271.1
30.8667	34.7833	456	1997-01-01	1	1997	1	1	1	"x5"	17.3222058823529	3.36415259706214	6.57372549019608	2.59060957566636	11.0515196078431	2.41858081266616	271.1
31.725	-110.87944	1496.57099	1989-01-02	2	1989	2	1	1	"y5"	14.6543776824034	4.06000474284373	1.08965665236052	3.30841910140928	6.69188841201717	3.17189908924008	1396.28
31.725	-110.87944	1496.57099	1989-01-03	3	1989	3	1	1	"z5"	14.7724045801527	4.00738474694123	1.05599236641221	3.23464133513923	6.70660305343511	3.13009668776859	1396.28
31.725	-110.87944	1496.57099	1989-07-31	212	1989	31	7	2	"a6"	31.420291005291	3.59769432058577	19.3014285714286	1.45532847757578	25.1415608465608	2.20908972161491	1396.28
31.725	-110.87944	1496.57099	1989-08-02	214	1989	2	8	7	"b6"	31.3135978835979	3.51684008866287	19.264417989418	1.44275572779088	25.0818518518519	2.17726272050968	1396.28
31.9	-110.88333	914	1989-01-05	5	1989	5	1	5	"c6"	15.23709375	3.87032816652222	1.25496875	3.10637296168326	7.043875	2.94810591922539	1261.97
31.9	-110.88333	914	1989-08-02	214	1989	2	8	1	"d6"	32.6590740740741	3.5789724737658	20.3873544973545	1.47904689585967	26.3615079365079	2.25309432994239	1261.97
31.9	-110.88333	914	1993-06-09	160	1993	9	6	1	"e6"	34.2038095238095	3.1764470226592	16.4321428571429	2.99397014008104	25.1979365079365	2.91298309843485	1261.97
32.58611	-110.94444	1054.61011	1989-01-02	2	1989	2	1	1	"f6"	17.8534334763949	3.9979552172388	4.37905579399142	3.34291401394535	9.99463519313305	3.03224282105261	738.22
32.58611	-110.94444	1054.61011	1989-01-03	3	1989	3	1	3	"g6"	17.9574809160305	3.95676990898652	4.34973282442748	3.29422964750324	10.0160687022901	2.97934463386987	738.22
32.58611	-110.94444	1054.61011	1989-01-05	5	1989	5	1	1	"h6"	18.183125	3.93125944985433	4.43809375	3.20157657929094	10.14559375	2.88346224273701	738.22
33.415	-111.548	524.86665	1989-01-02	2	1989	2	1	2	"i6"	15.7074678111588	4.192733145908	2.69154506437768	3.25634966177278	8.07098712446352	2.96821616649468	920.86
33.415	-111.548	524.86665	1989-07-31	212	1989	31	7	1	"j6"	35.8679100529101	3.71219027374579	23.0307142857143	1.57294626923369	29.427619047619	2.38206386738128	920.86
33.415	-111.548	524.86665	1989-08-02	214	1989	2	8	1	"k6"	35.8592063492063	3.5994291331582	23.0038095238095	1.56588981516092	29.3854497354497	2.33247342762361	920.86
33.415	-111.548	524.86665	1989-08-04	216	1989	4	8	8	"l6"	35.8118783068783	3.5531498957176	22.9720105820106	1.56874569500306	29.3512169312169	2.32191373564714	920.86
33.46861	-111.60861	633.37567	1989-01-07	7	1989	7	1	3	"m6"	18.6836243386243	3.92472957207778	4.86603174603175	3.1223986085392	10.7151587301587	2.75276790555373	494.49
33.52837	-112.0763	340	1988-12-26	361	1988	26	12	11	"n6"	17.1453211009174	3.84531981536874	3.86058103975535	3.5006782820424	9.50125382262997	3.15296568247827	494.49
33.52837	-112.0763	340	1988-12-27	362	1988	27	12	10	"o6"	17.1429530201342	3.83528040201694	3.845	3.5256949311412	9.47469798657718	3.15783671787564	494.49
33.52837	-112.0763	340	1988-12-31	366	1988	31	12	10	"p6"	17.0925274725275	3.66805083000581	4.00582417582418	3.58771155179173	9.58532967032967	3.1499523193969	494.49
33.52837	-112.0763	340	1989-01-01	1	1989	1	1	11	"q6"	18.1600490196078	3.84002956905039	4.97004901960784	3.29609255118233	10.5671568627451	2.85302376192528	494.49
33.52837	-112.0763	340	1989-01-02	2	1989	2	1	1	"r6"	18.2501287553648	3.80592329645817	4.87914163090129	3.27172910385199	10.5592274678112	2.83325651928481	494.49
33.52837	-112.0763	340	1989-01-04	4	1989	4	1	1	"s6"	18.5249484536082	3.79694381376918	4.8292439862543	3.22557497343202	10.6483848797251	2.78174860715805	494.49
33.52837	-112.0763	340	1989-01-06	6	1989	6	1	4	"t6"	18.6423209169054	3.86644309948355	4.88277936962751	3.12226938355441	10.7147277936963	2.72008277169762	494.49
33.52837	-112.0763	340	1989-07-22	203	1989	22	7	6	"u6"	39.8933597883598	3.67943818261769	26.4026455026455	2.02421531084552	33.1707936507936	2.49290407381287	494.49
